#{"t_start": 1766685730.0247612, "env_id": "None"}
r,l,t
4.3698974,21,18032.333812
3.5457957,10,18075.051096
3.7214978,41,18094.612469
4.7329187,5,18099.672349
3.7915776,9,18137.29815
3.3047156,53,18137.298506
4.147633,30,18147.852533
4.1096025,3,18158.236878
4.01864,10,18177.766091
3.9928195,15,18203.220898
4.6050873,13,18213.908047
3.1000512,4,18239.02322
3.4546077,39,18274.305993
3.5880313,11,18310.890857
3.8308268,8,18339.73933
3.2063072,1,18341.951973
2.8617673,43,18368.287011
3.243434,36,18393.364347
3.9909248,4,18407.274238
4.299567,14,18417.488946
2.833822,28,18449.109167
3.7039576,71,18491.954437
3.1625195,10,18498.24157
3.7998564,23,18509.241324
3.764918,5,18519.157982
3.1949904,41,18579.547969
4.4365826,22,18597.307787
4.0338798,18,18597.308139
3.6412058,8,18605.014477
3.7410977,12,18639.184073
4.2757215,12,18639.184444
3.5116498,33,18649.15207
3.8866954,12,18651.345956
4.744719,8,18676.506373
3.7669318,13,18690.264774
3.9076142,11,18697.420486
3.4113188,3,18707.165171
3.5747056,22,18726.421404
4.035927,6,18734.531718
2.8790002,14,18789.87349
2.8615859,24,18791.700713
3.2995253,5,18804.851027
3.7450416,20,18812.88116
2.1695175,1,18822.914906
4.019747,17,18858.779511
2.5521832,1,18865.732877
3.9676173,16,18872.502505
3.5145626,47,18872.502939
4.048773,14,18876.152105
3.5130243,4,18894.116915
2.911634,5,18897.318167
4.3516064,8,18931.828622
2.8612351,14,18960.693779
3.6234384,17,19048.988982
2.850431,42,19077.098108
3.907577,9,19123.690022
3.2980864,26,19177.114116
1.8909667,68,19200.047924
3.4356692,58,19213.261775
1.694826,1,19217.896832
4.2219667,12,19241.253615
4.572917,9,19246.131969
3.8831253,15,19294.325524
3.3153443,20,19324.372785
3.2682133,26,19336.120577
3.8505301,9,19370.74326
4.4600544,18,19406.069854
3.8572245,30,19425.717555
4.0451045,16,19429.743754
2.7477455,75,19456.675316
3.9985685,5,19487.242611
4.2990923,16,19496.965724
3.3639402,22,19519.072245
3.1193407,11,19532.432551
2.4239056,1,19536.46897
4.492792,3,19536.469324
4.3229165,12,19549.600402
4.4804964,7,19558.40657
3.4270208,16,19605.164012
4.1088505,12,19620.502366
3.057999,51,19634.025807
3.5466497,9,19639.802778
3.2391686,24,19652.699203
3.3816435,4,19653.080499
3.671751,3,19662.056624
4.0027494,2,19668.833367
4.4355016,8,19695.024378
3.8789947,16,19747.623917
3.8859267,34,19769.881261
3.6740937,20,19775.946775
-0.005,1,19775.947181
3.82785,4,19793.347324
3.9974504,18,19808.80518
3.5627677,9,19851.62178
2.9919488,21,19876.430463
4.149088,13,19909.352163
3.976033,8,19914.238769
3.9190445,36,19925.483627
4.5884094,6,19938.064004
2.8185775,1,19940.421778
4.090888,7,19947.587457
3.9196775,6,19955.139801
3.671003,4,19962.549495
3.4287903,3,19970.160554
4.7294707,8,19988.647549
2.6527834,87,19996.472146
4.1284623,19,20057.62027
4.3578634,16,20072.686271
3.0439436,2,20082.208461
3.553582,19,20082.208776
2.7965662,1,20087.048208
3.69342,25,20095.553584
3.7632449,4,20098.872372
3.796075,5,20113.435452
3.946767,5,20121.439912
3.5683165,6,20142.475992
3.8178248,14,20162.040091
3.7031436,4,20177.437795
3.2184155,15,20207.415932
3.4936628,31,20220.286767
3.8086731,41,20229.301893
3.6240907,3,20231.160753
3.447018,6,20263.322963
4.1412554,7,20263.323583
2.6729524,1,20265.252344
3.6045353,8,20298.279198
3.6785655,8,20338.878856
3.8823764,38,20397.070546
2.5426896,1,20400.718389
3.9423444,23,20446.837877
4.1424613,15,20457.213201
3.9996831,5,20470.519842
3.0355163,65,20482.692433
3.3049397,2,20482.698991
3.9846687,10,20526.052715
2.4952598,66,20591.932588
3.753035,14,20601.154431
3.6140506,12,20637.294529
3.2760732,39,20667.132514
4.05193,11,20686.480967
4.1340227,22,20694.027075
4.039738,8,20700.107769
3.1839602,54,20707.177427
4.0363064,4,20710.48492
3.5191555,4,20723.967091
3.6524827,16,20773.537099
4.4746275,16,20796.205987
3.4178977,5,20796.20637
3.9982364,2,20817.980353
4.0003705,30,20825.83514
4.618549,16,20870.019717
4.524025,13,20872.011056
3.5270889,26,20920.894774
3.558104,18,20946.555846
4.4939513,19,20946.556245
2.7605503,63,20970.144756
2.9733613,8,20990.093751
3.9371488,12,21007.87442
4.401023,22,21024.091147
4.1124825,9,21035.513756
3.5081067,10,21058.212614
4.0926375,7,21060.852036
3.521109,22,21074.863127
3.6516802,5,21085.762321
2.9055777,2,21085.762627
3.5038161,7,21115.57553
4.672042,23,21146.793269
4.305753,12,21150.271023
4.393715,34,21154.769827
4.4206605,7,21191.932148
2.7508783,2,21198.72184
3.8632643,18,21223.152373
4.0078816,36,21236.13647
3.412818,20,21244.206059
4.1366925,7,21265.98783
3.4092062,26,21305.031027
3.394614,35,21370.165602
3.8270876,18,21385.025518
3.475757,44,21427.118494
2.6003273,56,21455.620544
2.2602808,1,21460.178983
3.9990711,3,21485.457805
3.8866405,16,21500.535535
3.4865446,11,21523.583591
3.3211224,56,21594.149334
4.478219,23,21596.643553
4.236098,4,21616.067563
3.5899775,61,21635.257718
3.304317,6,21662.786711
4.586439,31,21666.180448
4.6958427,17,21669.326603
3.4287267,23,21752.320772
3.1743424,26,21778.643577
4.362881,16,21829.088628
3.7241814,14,21833.68023
1.5944968,2,21833.680575
0.2666718,1,21835.226602
4.2351813,3,21840.027008
2.835371,2,21844.20903
2.2552152,1,21848.535173
3.6627293,6,21854.707705
4.052245,52,21883.369574
3.8360827,77,21944.553378
4.4474826,7,21975.425347
3.9598982,34,22005.069983
3.2875538,39,22022.760797
4.034837,8,22041.358171
3.1052494,36,22041.358558
4.0731583,10,22057.388908
3.2370527,24,22064.390942
2.7964165,14,22084.674247
4.079923,13,22110.736434
3.957251,16,22114.449287
4.1491446,11,22127.803581
2.4601877,1,22137.272023
4.792944,6,22142.926344
4.431413,6,22143.139043
3.6997828,2,22147.388393
4.219381,30,22151.710324
2.9821754,1,22155.246691
3.802026,8,22204.00361
3.9865735,3,22221.031284
3.1619604,21,22255.228783
2.9932547,26,22270.624234
1.7897029,1,22270.885365
3.9613953,6,22306.222609
3.602667,23,22334.870092
3.464113,21,22369.740801
4.076926,8,22382.992213
2.9356468,56,22418.19743
3.4185946,24,22432.194215
3.2554946,14,22435.269168
3.8844879,16,22517.007916
3.837573,15,22520.878211
3.9455674,36,22607.721222
3.1781974,48,22609.923581
4.7481194,5,22628.040237
2.756665,25,22641.629125
3.8192172,16,22675.482369
3.4538183,22,22731.544528
2.980246,49,22759.013208
2.8115857,3,22767.900099
4.026294,9,22772.085459
3.543129,4,22788.096201
3.2899075,24,22788.096785
3.9346344,11,22827.626546
3.6723418,9,22833.697284
2.9389863,47,22859.731619
4.321399,15,22859.732123
4.514488,11,22873.449849
3.8822572,5,22878.470785
3.819288,5,22893.252696
3.71177,4,22893.253403
3.8415356,4,22909.479147
4.9374194,21,22914.801182
4.0188637,26,23009.282539
4.22554,25,23009.85044
3.9290988,5,23032.228135
3.7372568,47,23041.976606
3.4446204,8,23044.270569
4.121771,9,23064.519347
2.9634533,4,23086.257265
2.8439531,53,23108.254742
4.006432,5,23108.257779
1.1107829,2,23115.063275
3.6421888,2,23123.077606
2.7102373,22,23142.68382
2.7055283,15,23176.065491
4.204469,12,23201.489313
3.2583952,17,23204.023527
3.325451,36,23204.023948
1.6306162,1,23205.84492
2.7794921,3,23216.863812
3.8766663,10,23244.19854
4.269998,8,23244.199064
4.453424,20,23329.499329
1.3270452,1,23330.905623
3.0792606,31,23357.739969
3.496035,7,23375.933353
3.3732994,29,23378.337577
3.631851,11,23432.712456
2.6351569,2,23435.277036
3.2835567,5,23453.638335
3.8931673,17,23453.638833
3.714909,2,23468.326165
2.5098665,66,23480.23639
4.0925994,6,23483.436448
3.57103,5,23489.548881
4.363508,6,23512.249253
3.3874304,33,23512.249785
3.291518,12,23567.037482
3.4128103,3,23575.916369
4.4542265,4,23604.29013
3.5130482,25,23604.582499
3.120909,4,23613.991613
3.7863822,6,23628.873342
3.4633505,42,23663.124155
4.1605806,22,23697.282039
3.8929718,43,23702.710712
4.1968813,10,23714.672326
2.946661,2,23723.301827
3.232305,20,23732.76444
3.688111,14,23770.955728
3.6107738,16,23808.029083
3.9738588,32,23874.746227
4.208808,14,23874.74679
